uber_Name,google_Name,average_health_score,cid,uber_id,uber_categories,google_tags,google_categories
Chat Thai (Sydney),Chat Thai (Sydney),-0.8653914664457332,a8053669082264319810,9a-mIC6xRlqZrUKoDFtlrQ,"gluten free friendly,thai,vegetarian friendly,organicproduct","queue,bone,attitude,book,theatre,cbd,kale,donut,pork belly,crab omelette",thai
Domino's (Bondi Junction),Domino's Pizza Bondi Junction,-4.813213868535859,a9677605876146687854,DAPjgXXJTDKc3tYeu2jOmQ,"italian,gluten free,pizza,dessert","price,call,order,topping,garlic bread,pepperoni,takeout,delivery,complaint","pizza takeout,fast food,lunch,pizza,pizza delivery,family,takeout,delivery,restaurant,dessert"
Dundee Arm Bar,Dundee ARMS,-2.0399295774647888,a5623982662636947208,GWW16JzfTg-L0DMdoicOcw,"asian fusion,sandwich,allergy friendly,modern australian","sandwich,lunch,chip",bar
Newtown Express,Newtown Express Grocery,-7.57,a4678024202814435073,NCqx7qMbTbqv0Xpq4ucjEQ,"everyday essential,convenience",,convenience
Vizio Caffe e Cucina,Vizio Caffé e Cucina,-4.020384615384615,a13444426424868243837,cd3hjaSgQYCo787lT4XX9g,"italian,allergy friendly","skewer,chocolate mousse,barista,fork,arancini,slow cooked,barramundi,pear,neck,wagyu","wine bar,lunch,bar,italian,breakfast"
Bo Larn Thai Kitchen,Bo Larn,-1.87,a9892283422991014343,XFhBIXicTwqmEc3tsnGUHw,"thai,south east asian,soul food","dinner,pork,food,entree,chef,cocktail,service,waitres,table,money,portion size",thai
Smokestak Burgers,Smokestak Burgers 2,-5.586806688081707,a12854372053289713269,zjQewlkgRKiwc_WT1jBerQ,"sandwich,burger,american",cost,burger
The Forresters,Forrester's,-5.6157523414362815,a3608421207646838284,qlFHQ2BuS6OPfPk7yC88tQ,"pizza,burger,modern australian","roast pork,wing,yorkie,renovated,sunday roast,cheeseburger,trivia,gravy,roast chicken,schnitzel","restaurant,pub"
Aurora Hotel,Aurora Rooftop Hotel,-5.629823304401312,a16869492220710255297,lbnRoEw2XXy5WlUCphYeSw,"alcohol,wine,drink","poky,bistro,happy hour,crowd,lunch,renovation,floor,balcony,smoker,train","bar,bistro,restaurant,pub"
Metro (Surry Hills),Woolworths Metro Surry Hills,-6.8525,a15061832386236827863,riihWqr2VYaL8-18vjNJNw,"healthy,convenience,everyday essential,grocery","parking,deli,convenient,clean,brand,checkout,produce,security guard,cafe,choice","convenience,supermarket"
DEN Sushi Rose Bay,Den Sushi Dining Rose Bay,3.215,a4983056808015322531,JA65biunTlKTV2rFu0AvPw,"sushi,japanese","dish,teriyaki,chicken,price","japanese,sushi"
Ichibanboshi,Ichi-Ban Boshi,0.6900000000000001,a11748150033719039606,UhKyjaUHRK2e1tUIc_SDTA,"asian,japanese","bondi,chili,quick service,bowl,wonton,tonkotsu raman,japanese noodle,vegetarian,karaage,broth","japanese,restaurant"
Bill and Toni's Italian,Bill & Toni Italian Upstairs,-4.513589743589743,a12903765600638072927,6cR0OTDtRw-yFvMLOmO-Zw,"italian,european,korean","osso bucco,cordial,pinball,garlic bread,gelato,icon,penne,balcony,cafe,schnitzel","italian,restaurant"
Una's Restaurant,Una's,-2.223333333333333,a1172741873207532129,woQ-d_0qQgW_RPywnBOGzg,"german,swedish,austrian","apple strudel,pork knuckle,deep fried camembert,mushroom sauce,chasseur,bavarian,german beer,german food,rosti,schnitzel","austrian,breakfast,restaurant"
The Muglan Express,The Muglan Express Nepalese & Indian Flavours,-0.78,a11437107096321546318,6kzOjivtTEqfKrVRg9Hiow,"indian,asian fusion","sauce,dish,spicy,price,curry,chicken,chowmein,dumpling,biryani,momo","indian takeout,nepalese,indian"
Glider Coffee,Glider Cafe,-3.8521771217712173,a3416768208539868720,JDhIKbSRQcqvwE0kphlE0w,"cafe,breakfast and brunch","omelette,atmosphere,cute,duck,area,priced,brunch,burger,toast,thai","lunch,vietnamese,asian fusion,coffee,takeout,brunch,breakfast,cafe"
The Rocks Teppanyaki by Kobe Jones,The Rocks Teppanyaki,-0.8133333333333331,a735008616125425256,czv7aCKBTBShwaFdzNOyEQ,"asian,japanese,modern australian","groupon,lobster,crab,intimate,atmosphere,degustation,overcooked,cocktail,voucher,crepe","asian,restaurant,teppanyaki"
Laneway dumplings and Momo Townhall,Laneway Dumplings & Momo,-2.2368729458635657,a3433923409549839555,I69lyPRqXKiifj0TgtefdA,"korean,asian,dumpling house","vegan,pork,price,nepalese,atmosphere,prawn,chive dumpling,chilli,street food,gem,alley",dumpling
Camy's Chargrill Chicken Surry Hills,Camy’s Chargrill Chicken,-5.570358217547767,a7845567569020802505,jhMQ8wLPS-WSSPmPEOejlw,"exclusive to eats,bbq,burger,modern australian,american","sauce,lunch,chip,cooked,coffee,salad,family,money,healthy,wrap","breakfast,catering food,fast food,chicken,health food,drink supplier,burger,restaurant"
Field To Fork (Bondi),Field to Fork Butcher,-3.1675,a2064391842353756565,m54lBcgvV1yRExsqWDyirw,"specialty food,cafe,deli,grocery","price,cooked,sausage,burger,steak","butcher,takeout,caterer,meat wholesaler"
