uber_Name,google_Name,average_health_score,google_cid,uber_id,uber_categories,google_Category
Dera-Uma.,Dera Uma,0.0754901960784314,a1004526826752415069,6e0E3eo4Td6Xb0JK47bwfQ,"japanese,rice bowl,salad",japanese
Bun Me (MLC),Bun Me,-0.6474295774647888,a3149543940320958521,iSMl6hAjTvOaGrKNEYf4Rw,"sandwich,roll,asian,vietnamese",vietnamese
The Gardens @259,The Gardens 259,-5.506177042801556,a1246242562840860813,_NddBet6UP6Mlt-SANZFzQ,"healthy,modern australian,comfort food,american",cafe
Melted Monster,Melted Monster,-4.668077055383557,a4769470583304532123,sopExi1qSziOi30LhzdYWQ,"salad,burger,modern australian",cafe
Rosie Campbells,Rosie Campbell's,-4.051177042801557,a564147729256980975,xODWA_ORT4eeH9dVBwSwDg,"caribbean,mexican,comfort food,seafood",diner
Reuben Hills,Reuben Hills,-3.8928828399461697,a15580684407902046428,8-0Jf8SHQT26VjAenz_mqg,"chicken,breakfast and brunch,vegetarian friendly",cafe
IGA Rosebery,IGA Rosebery,-7.3566666666666665,a11939931939962143818,16vlhypPToSewJTDb4xzTg,"everyday essential,convenience,grocery",grocery
The Rook,The Rook,-6.773567251461988,a4921613697898935472,GmEWHMwWRbGe_4unyKGUYw,"seafood,burger,american",bar
Two Good Eggs Cafe,Two Good Eggs Cafe,-3.841451414514145,a9455159796521914669,16LjXbg9TWuNiyxJxtgNDA,"cafe,breakfast and brunch,modern australian",cafe
Meat District Co.,Meat District Co,-7.445410909279097,a14105451565244101591,TTRWn3ktSkORl5HOfcuRKA,"dessert,burger,american",steak house
Warung The Sawah,Warung The Sawah,-3.560135357211083,a11363494210286964492,m5-9f_XmXNW0D6jv4G00gQ,"chicken,indonesian,dumpling house",indonesian
Jackies Cafe,Jackies Cafe,-0.9481180811808118,a13423858852639407466,4_hD3oGSHq-CKVTE5kpmg,"asian,breakfast and brunch,japanese",cafe
Flames Chargrill,FLAMES CHARGRILL,-7.5501629961428405,a17651338396030587281,vl3q-pd1S4Cop223Lp1hLw,"chicken,burger,fast food",chicken
Steve Costi's Fish Market (Woollahra),Steve Costi's Fish Market,-3.4466666666666668,a10717166392495846465,IuVQ91o2W22jMq9PSjXs-Q,"european,seafood,modern european",seafood
Bad Hombres,Bad Hombres,-4.223549410029499,a1899021677276858289,J_VtCTCCQwWLMdIMGxne0Q,"gluten free,dessert,vegan,mexican",restaurant
FoodWorks Newtown,FoodWorks Newtown,-7.265,a2425385371966059776,yzFDl-BjWjWrgrpOCybNsA,"convenience,grocery",supermarket
Pho LV,Pho LV,-0.5700000000000001,a5743779106539092416,GAv8z_WSTo66_YTLgVR7sg,"asian,noodle,vietnamese",vietnamese
Fei Jai,Fei Jai,-1.070206279196899,a11499441933212696718,QlbDyu0aW1avpqNDYKEJoQ,"asian,dumpling house,chinese",chinese
Lumiere Cafe,Lumiere Cafe.,-4.451041578448572,a14248605929209630565,UTKeoc8aQI2eGqxzavbwUw,"breakfast and brunch,coffee and tea,juice and smoothy",cafe
Kura Kura Japanese Dining,Kura Kura Japanese Dining,1.9566666666666663,a15468794232839638689,V-hV2PB1SxCYnzLejuRIyw,"sushi,japanese,asian fusion",japanese
Luxe Woollahra,Luxe,-3.2989418276535707,a5062506776886892715,p0QH9w-BS9q1192GjTi-UQ,"breakfast and brunch,salad",cafe
Mamma's Bar and Kitchen,Mammas Bar & Kitchen,-5.840367746288799,a9824367593160126698,He88XCjRUKG-vVxxRIIZ6w,"italian,pasta,burger,american",mediterranean
Tender Gourmet Butchery,Tender Gourmet Butchery,-4.250233918128655,a4927907044203337010,QP81N1pGSK-hxXhbMRx7JA,"roll,gourmet,burger",butcher
Daily Greens Paddington,Daily Greens,-3.0263460439830614,a17530126066809414443,qto8sqtdTKGFJwwZuBWD-w,"vegetarian,gluten free friendly,coffee and tea,vegetarian friendly,juice and smoothy,breakfast and brunch,healthy,gourmet,gluten free,asian,pastry,salad,american,modern australian,cafe,vegan,vegan friendly",cafe
Above Par,Above Par,-5.05,a4775951772094409290,P-Awhi-JQ72QroQa-CUq9A,"turkish,middle eastern,allergy friendly",middle eastern
Arthouse Kitchen,Arthouse Kitchen,-5.51950656376952,a11953542045884122742,utDnSbJ7QjqONOUH69gRfw,"italian,pizza,cafe,burger",restaurant
Mama Bao,Mama Bao,-0.7933333333333333,a3572062877201612707,rnkCzHhpQLusmnrTa5_VIg,"asian,noodle,chinese",restaurant
Rustic French Bistro,Rustic French Bistro,-3.774415907207953,a13836877279745903019,BthoJklGXhqyC4219z_xcw,"american,sandwich,salad",french
The Mill Bondi Junction,The Mill,-6.235774833564037,a16670194091328264,P-UqtFNsXzSNzL6AhaA_fA,"italian,pizza,fast food",pub
Kawa,Kawa,-3.974301942374307,a3590710447362089618,C3XXncnoUMGkaSjdetXXcQ,"coffee and tea,sandwich,breakfast and brunch,american,vegan",cafe
Bitton Rose Bay,Bitton Rose Bay,-2.885,a577175078731877053,fSkaMTDMSU-T8yTKQi2Czg,"french,cafe",cafe
Pure Food Co,Pure Food co,-5.69,a16787492969109175425,Fjn5ZdhkSGKbKaDH5pptfQ,"healthy,australian,fast food",restaurant
Casa Del Vino,Casa Del Vino,-4.86910816689737,a2101973719821602144,RnV5vBSqTJuw_Myi_R04AQ,"italian,pizza,modern australian",italian
1919 Lanzhou Beef Noodle Bondi,1919 Lanzhou Beef Noodle,-2.2249027237354086,a2029345477270956874,ORu8EXwXSuG36ZhsYIpuLg,"comfort food,asian,chinese",chinese noodle
Little Jean,Little Jean,-4.286923076923077,a8937335162904604366,GQGnkI2lR4OWyg77HpgGGw,"italian,european,modern australian",australian
Eleven Miles,Eleven Miles,-3.4726278851023804,a1800289694168602134,3TueaciMR8SM4jnieYYvkQ,"salad,breakfast and brunch,modern australian",cafe
Relish Food Co,Relish Food Co,-4.724808827021794,a12121407523390184176,OBiFlNvcWIiobE82T2AP1g,"comfort food,sandwich,american",cafe
The Balkan Butler,The Balkan Butler,-6.651685332642799,a3903918022574680040,EGYgl_8cRgSMiMVgwDLsww,"breakfast and brunch,burger,fast food",cafe
Dymocks Cafe,Dymocks Cafe,-3.8604533279688513,a12249607031922627642,vdieVpH6Spi8V9uuxvB8ag,"coffee and tea,sandwich,burger,australian,cafe,salad",cafe
City Cellars,City Cellars,-5.629823304401312,a18301942220941129478,jT-mqcomWBW84vaUhg8R8Q,"alcohol,wine,drink",liquor
Paramount Coffee Project,Paramount Coffee Project,-4.982471304248441,a15398193412147775303,fOvpQwaeQL2AshlV4-9Fbg,"healthy,cafe,dessert,breakfast and brunch",cafe
Flat White Cafe,Flat White Cafe,-3.841451414514145,a11240413019759048329,ac9by49WQVaeko6iem92MQ,"cafe,breakfast and brunch,modern australian",cafe
Jamie's Kitchen Sydney,"Jamie's Kitchen, Darlinghurst Sydney",-4.419687471582887,a3539563724986820629,7vFDrc4BQ0yJX648a8oezA,"australian,comfort food,breakfast and brunch",cafe
SPAGO Darling Square,Spago Darling Square,-3.7935897435897434,a8820777412856511728,gWgcxwxWShCuD9Cuptu-aw,"italian,european,pasta",italian
FOOD ADDICT,Food Addict,-4.917471304248441,a8235674579986113536,FlaeIJa3Qd2hTFZagt-Ifg,"australian,dessert,breakfast and brunch,juice and smoothy",coffee
FoodWorks (Petersham),FoodWorks Petersham,-4.342499999999999,a1645369793117120189,WYfWeTsuUFSD5fZwhywFoQ,"healthy,convenience,deli,grocery",supermarket
Belles Hot Chicken (Barangaroo),Belles Hot Chicken Barangaroo,-7.64,a10448936809708357747,inSwXqQZTCKvKwVgGM7nzw,american,chicken
Harry's By Giuls,Harrys by Giuls,-4.588008167974584,a9570596668543615016,YLLXf9aTqiDul-sW_Isaw,"italian,pasta,comfort food,pizza",italian
8oz Cafe,8oz Cafe Sydney,-4.093660743910452,a5511891694965187648,VROR8wF4S8C9OFuHk-4ZQQ,"sandwich,breakfast and brunch,burger,salad,juice and smoothy",cafe
Dumpling Bar Restaurant on Kent,Dumpling Bar Restaurant on Kent 北海私房菜,-3.736666666666667,a14357787304300160860,VXUlt_GAQDSTCrfPf6Fctg,"healthy,seafood,chinese",chinese
El Jannah (Smithfield),El Jannah Smithfield,-5.721139092980125,a1001864578466251582,1mDK0r2OSHqOMTzMOF1nZg,"vegetarian,middle eastern,chicken,fried chicken,exclusive to eats,burger,salad,comfort food,american,healthy,fast food,family meal",lebanese
Kebab king,Kebab King Mount Pritchard,-8.453333333333333,a16630372109538536111,UYlQ5jsZTqaooqU2B-ahrA,"snack,hot dog,kebab",fast food
Luxe Patisserie,Luxe Patisserie Fairfield Heights,-6.432765486725664,a8201945806857251567,0d0FeOitR_2V8kVtrAc8-g,"middle eastern,dessert",patisserie
Pizza Hut (Bonnyrigg),Pizza Hut Bonnyrigg,-5.2357748335640375,a14623826706221158340,XBfA_IHDTh-1_3GH2j_HTQ,"italian,pizza,family meal",pizza
Oporto (Wetherill Park),Oporto Wetherill Park,-6.016383804078074,a7751535131435314983,Oyi5ui4FTzCpNcY0lKvhgA,"chicken,family meal,burger,healthy,dessert,vegan,fast food",fast food
Pizza on the Horsley,Pizza on the Horsley,-5.337344223966113,a4573933611110861360,fBF-V3DlQpeBXISwL1zMvw,"comfort food,italian,pizza",pizza
Golden Asian Restaurant,Golden Asian Restaurant,-2.2249027237354086,a17794862884823379422,lyp2WOxMQNukgLpwmPTYKg,"comfort food,asian,chinese",chinese
The Alley LuJiaoXiang (Canley Heights),The Alley Lujiaoxiang Canley Heights,-5.47,a17533731513494893682,GqlNGoZdStyq18LGWBGrVQ,"taiwanese,asian,bubble tea",bubble tea
Sugar Drip,Sugar Drip,-6.583413048219184,a11299445397092053001,LHPHgUOWQTaQ6bsc-WqOmA,"dessert,comfort food,american",dessert
Calvin's crepes,calvin's crepes,-4.542938018278588,a13733678029361733775,aCm-efW0S826almZ5br-kw,"french,dessert,crepe",ice cream
Burger Lab,Burger Lab,-6.928236057068742,a11571969635272999788,HoELj5UXT8CW4E7lhU8hEA,"american,comfort food,fast food",restaurant
Milk Flower Cabramatta,Milk Flower Cabramatta,-6.088510324483775,a16922921303753201571,D9I9X-EFSsaTKivKUnDqgg,"dessert,bubble tea,juice and smoothy",bubble tea
La Grilla,La Grilla,-4.5,a7340254238401191507,K0-7C6inRh-hPtaE6Ybc1A,korean,korean bbq
BUBBLE WAFFLEZ,Bubble Wafflez,-5.915059786164388,a6718334228157731834,3GjvI8JSQ8WrhTMqIHvwIQ,"dessert,bubble tea,comfort food,family meal",dessert
The Moose Man Kebabs,The Moose Man Kebabs,-6.456666666666667,a5793479676782233743,eYAiIBi3SbCp0TC-HAxTUw,"turkish,mediterranean,lebanese",kebab
Kebab House Wetherill Park,Kebab House,-6.6254649001384225,a5216928441318907311,q0MOTwL4TBm_op1-j1MYWw,"italian,turkish,pizza,american,kebab",fast food
Kebab Club,Kebab Club,-6.34,a2434909720701307062,XcLojvGETe6G3CZ1fDFdRw,"turkish,middle eastern","kebab,turkish"
Chubby Buns Burgers - Lansvale,Chubby Buns Burgers Lansvale,-6.3177498764908435,a11719466603165389063,FC4LtdbQTFWI6oApXV6tiw,"halal,exclusive to eats,burger,comfort food,american,fast food",burger
Charcoal House & Co,Charcoal House & Co. Greenfield Park,-4.64112676056338,a183602050437401624,o8xuxKQfS2WsIeeupz9kGw,"fast food,allergy friendly,vegetarian friendly,american",restaurant
Sammy's Kebabs,Sammy's Kebabs,-6.31413881748072,a3785826435921165926,Shn5Df8oQEaRq8yYVYkQXw,"middle eastern,pizza,fast food,mediterranean",kebab
Krazy Bird (Cabramatta),Krazy Bird Cabramatta,-4.346666666666667,a11900684943076770394,NerNTtfgQ4a_IUb6jZRXUg,"korean,fried chicken,asian",fried chicken takeout
Pie Face (Prairiewood),United Petroleum Prariewood (Pie Face),-4.1433333333333335,a2637169937359489866,zUjx75ivV9yIXe0lU2LopQ,"cafe,bakery,fast food","gas station,petrol station"
Shawarma Today,Shawarma Today,-5.1363131124522985,a10796413381146025800,Qw7z4YljT1Gl4pFW0Vqaxw,"comfort food,burger,salad",shawarma
Blue Sky Shawarma,Blue Sky Shawarma,-4.793677042801557,a18001188002695714984,Zrg9sGQpSH-gAJq9etjBbA,"middle eastern,vietnamese,comfort food,american",middle eastern
Mata Restaurant,MATA Restaurant,-5.376900584795322,a17952330466557077799,4Gs5H4E5TJu_P-9-cx-5lA,"middle eastern,pasta,burger",middle eastern
Metro Petroleum (Bonnyrigg),Metro Petroleum Bonnyrigg,-7.57,a10729872333442496892,dV5w_JsvQkOlpb4EliyTIg,"everyday essential,convenience",gas station
