uber_Name,uber_id,average_health_score,categories
Urbanista Fast Food Yagoona,XW8wnl7HR1itW8tmGIYlHA,-3.1228794313774255,"dim sum,coffee and tea,modern australian"
The Pitstop,wO_7TDWrX6KNj9We8jDHPw,-6.356558181959324,"halal,dessert,mexican,burger"
Grill Masterz Cafe,0cZcWF1WRWKToXhdvanSew,-4.0125,"drink,bubble tea,allergy friendly,juice and smoothy"
Pie Face (Yagoona),zuUT4PpEQFejptQrOvsiKQ,-4.944208213885081,"convenience,sandwich,bakery,dessert,family meal,fast food"
Malatang Street Food by Hotpot City,FV47ApD-TBa6mC-gUG8owQ,-2.7866666666666666,"halal,asian,street food"
The Family Market,b815uHCdRjaLlcbHFxC6Gw,-7.57,"everyday essential,convenience"
El Beik,Y1SK6QZoWO2wo9x1nxjQLg,-3.1499061032863853,"american,roll,sandwich"
Damascus Restaurant,nyUcThelREGGi7V-HdZDBg,-5.617500000000001,"healthy,middle eastern,halal,lebanese"
KrazyBird (Chester Hill),E7Urd4hLXQuDmAnEQwtV-A,-4.326666666666667,"asian fusion,korean,fast food"
Cafe Euphoria,RInLdd5URDSLvomTOkspqA,-5.1147847478474775,"cafe,breakfast and brunch,american"
Sir Benedict (Bankstown),WC-Z7TvkUBKxVhsgb-nl6A,-4.073333333333333,"cafe,family meal,modern australian"
Petit Cafe Driven by Metro Petroleum,2Ycf64FARCihIfZdHBQ8ng,-4.174902723735409,"cafe,comfort food,modern australian"
Dose of Chocolate,yHU8GjkHVE2Giy48RkfB0w,-4.488100488418202,"dessert,coffee and tea,drink"
Snowy Dessert Bar,kUkgc817R62i1kzphhhsNg,-5.925176991150443,"dessert,ice cream,juice and smoothy"
Window's Coffee,BLTv-SLnSi2qEsUrwe7GWw,-4.728510324483776,"cafe,dessert,modern australian"
Golden Chopsticks Bankstown,2JR_D-15WWiMwwe2OMOI9g,0.05999999999999994,"vietnamese,soup,noodle,chinese"
Boom Boom Thai,jwf0VT56S4KYd1eHwJppPg,-1.9666666666666668,"halal,thai,south east asian"
World Gym Chullora,VzxepJDGQ6Wk3iyCL4x3Qw,-4.863333333333333,"american,drink,juice and smoothy"
8 Dragons,veTcCLLbQ-aQh7mtNruA9w,-3.1166666666666667,"specialty,asian,south east asian"
QuickStop by United Petroleum (Yagoona),SDpVjQdISVm4b8D616Dxng,-7.57,"everyday essential,convenience"
Smokey Bite,l1KkAbfjT8yjViwRy2Xi_w,-6.0651754385964916,"family meal,bbq,burger,american"
Lahori Dhera,pO4RRPJbUuSeDLOUd8Zdvw,-2.3000000000000003,"healthy,asian fusion,indian"
Feedee,mVPctzrPRN6IUEOGTJEKLQ,-2.1133333333333333,"healthy,western,chinese"
Chaplus (Bankstown),E9g9c1N9R9WRYYbe8vpnag,-3.9433333333333334,"asian,bubble tea,juice and smoothy"
Wild Bean Cafe (BP Wiley Park),gZy2ZPo9Uw2I98Go5CX8Nw,-7.6,convenience
GS Cafe,XsvTrTH9QO2TGTGuH8pn4Q,-4.20292349726776,"coffee and tea,cafe,juice and smoothy"
Burgs & Shakes (Bankstown RSL),Fqs9a0ZeUqyUpSqng8AlnA,-4.073333333333333,"cafe,family meal,modern australian"
Yagoona Tavern Bistro,E2X8_6t_Q7u687ls0D1WyQ,-2.2600000000000002,"affordable meal,asian,chinese"
Toast n Roast,_JbCWo4uRom23hmCD_YUvQ,-6.246746381552517,"dessert,bubble tea,comfort food"
IGA Figtree Drive,ZRluGDbOXk-PvQxh4HsKew,-7.265,"convenience,grocery"
Mi Quang Hoi an,s2NfjTUeSEKS68BqJbwdWA,-2.0433333333333334,"seafood,noodle,vietnamese"
Chatime (Bankstown),YWyslj_aSjqAxkYp1R641g,-4.664155076701049,"exclusive to eats,bubble tea,dessert,asian"
Subway (Bass Hill Plaza),Gpx9M58JRciH8RJ18VhpAw,-4.364012092233598,"sandwich,breakfast and brunch,allergy friendly,healthy,family meal,fast food"
Hot Stone Cafe,G2JXOdeqTQWrLgxtxsr2yg,-4.171569390402076,"comfort food,australian,cafe"
The Alley LuJiaoXiang (Bankstown),PKDLO2DxQt-LGknOGdUArQ,-5.47,"taiwanese,asian,bubble tea"
Mina 1 Bakery,ntzVHwsSTV2jtSeP5Wk-tA,-6.314571094828688,"italian,middle eastern,pizza,dessert,fast food"
Shake it up and dough,qgK2HRk6TreBXRKmPR8n9Q,-6.7007695030456675,"fast food,dessert,donut"
Chester Hill Hotel Bistro,7BeotKW3QhOXU_0Laj7png,-4.4865957446808515,"chicken,steak,seafood"
Fav Foods (Pinoy Shop),jAKzTuSATjGY9-D00lc9dA,-5.54382955187347,"chicken,dessert,asian,fast food"
Euro Taste Grill,ao-TZevMQp6WIV0Sc3XBAg,-3.7853846153846153,"italian,modern european"
Basement Brewhouse,o3uCxS--T9-OiVhEdGhkkQ,-5.815350877192983,"burger,modern australian"
Dougie's Doughnuts Bankstown,90RoIAAkRs-jcX9V-7AARQ,-6.885530973451328,dessert
Bankstown Kebab House,ELhSkwHyTIib0XPkrJDN6w,-6.621301507886121,"pizza,falafel,burger,kebab"
Fresh City Auburn,1B7g_bWXQmiJ4Ex9vZ129g,-5.260000000000001,"middle eastern,convenience,drink"
Mickeydeez,gW7x96lKQ2K-jJ-XFoKJKg,-6.19010501606128,"hot dog,sandwich,burger,american"
Chef's Dynasty,gEUqj2HRSWWgehsLZEmbyA,-0.6615023474178404,"asian,vegetarian friendly,chinese"
