uber_Name,google_Name,jelly,fuzzy,uber_full_address,google_full_address,google_cid,uber_id
Gong Cha (Granville),Gong Cha Granville,1.0,100.0,"7 south st, granville, NSW 2142","7-9 south st, granville, NSW 2142",a2893664216684482430,2YYv1znEQzemRp2MVvDuXQ
SeaSweet Patisserie (Merrylands),SeaSweet Patisserie,1.0,100.0,"256 merrylands rd, merrylands, NSW 2160","256 merrylands rd, merrylands, NSW 2160",a12605125914864532368,sDQev8PKSu63dGo-KzJYsQ
San Churro (Parramatta),San Churro Parramatta,1.0,100.0,"287 church st, parramatta, NSW 2150","287 church st, parramatta, NSW 2150",a13548161445891810424,xpqrX3qJT4uE_aMcgPRK1Q
Panntea Parramatta,Panntea Parramatta,1.0,100.0,"188 church st, parramatta, NSW 2150","shop 2/188 church st, parramatta, NSW 2150",a13062531454441722130,xAZXMIH2QXqUYmgRDp9e0A
Guzman Y Gomez (Parramatta CBD),Guzman y Gomez - Parramatta CBD,1.0,100.0,"140 marsden st, parramatta, NSW 2150","shop 4/140 marsden st, parramatta, NSW 2150",a4121415599055775021,0faa4GVvSOGVMLgeps010Q
Just Cakes Parramatta,Just Cakes Parramatta,1.0,100.0,"261 church street, parramatta, NSW 2150","261 church st, parramatta, NSW 2150",a4208125049317315139,WcNjl3sbWFqyApIn_kNOpA
Abla's Pastries,Abla's Pastries,1.0,100.0,"52 railway parade, granville, NSW 2142","52 railway parade, granville, NSW 2142",a14831757112615447845,jr5zhBYyQ4WN3Gu5u_mQYA
Thai Riffic On Street Parramatta,Thai Riffic on Street Parramatta,1.0,100.0,"159-175 church st, parramatta, NSW 2150","2184b/159-175 church st, parramatta, NSW 2150",a17189192429933395087,PHYOQQhHTxuKS7DimVK1tA
Milk Flower Parramatta,Milk Flower Parramatta,1.0,100.0,"175 church st, parramatta, NSW 2150","159-175 church st, parramatta, NSW 2150",a13410606078455305816,wICPAoAUQK2sOweez3dQfw
Mr Ping's - Parramatta,Mr Ping's,1.0,100.0,"159-175 church st, parramatta, NSW 2150","159-175 church st, parramatta, NSW 2150",a11580061515634887457,zFCRnEXiS2KakO9d_XgEyQ
El Jannah (Granville),El Jannah Granville,1.0,100.0,"6 south st, granville, NSW 2142","4/8 south st, granville, NSW 2142",a2801979635866309910,WJAv4OkzQ0ayIDKHH1BSvw
Chatkazz Sweets & Namkeen,Chatkazz Sweets & Namkeen,1.0,100.0,"2/2 station st e, harris park, NSW 2150","shop 2/2 station st e, harris park, NSW 2150",a9676910772591252396,xTUxhGAnQF-QDcdxqEjTVw
Thainabox (Merrylands),Thainabox Merrylands,1.0,100.0,"shop 1096 mcfarlane street, merrylands, NSW 2160","12345 mcfarlane st, merrylands, NSW 2160",a9947362129327482077,1nO6NxQ4QLi1m7lfrLo2fg
BWS (Rosehill),BWS Rosehill,1.0,100.0,"28-30 oak street, rosehill, NSW 2142","28/30 oak st, rosehill, NSW 2142",a12230104080656464454,DZYE0C4OVLKa0Stf4xKnjA
Portico Chicken Ermington,Portico Chicken Ermington,1.0,100.0,"10 betty cuthbert ave, ermington, NSW 2115","10 betty cuthbert ave, ermington, NSW 2115",a7027945849151598203,0QD4C0htTzCGEd4RTlds5A
Auburn Fresh Juice Centre,Auburn Fresh Juice Centre,1.0,100.0,"9 auburn rd, auburn, NSW 2144","9 auburn rd, auburn, NSW 2144",a11775062919517850964,X3y46wwZS8anVZbtwvP0Dw
Alpha Sushi,Alpha Sushi Parramatta,1.0,100.0,"27 phillip st, parramatta, NSW 2150","shop 6/27 phillip st, parramatta, NSW 2150",a768696758911627248,9T8LlfCTRNm7QNPpuw3A8A
Bay Vista Parramatta,Bay Vista Parramatta,1.0,100.0,"330 church st, parramatta, NSW 2150","1/330 church st, parramatta, NSW 2150",a17045108547133297613,VuZcpE0MTT-U_wzUU2p2Jw
Mama Zzang,Mama Zzang,1.0,100.0,"277a church street, parramatta, NSW 2150","277 church st, parramatta, NSW 2150",a9349860410788542300,fqZB2q6OTlin2alxH0VrIA
Estelita's Filipino Kusina,Estelita's Filipino Kusina Parramatta,1.0,100.0,"319 church street, parramatta, NSW 2150","319 church st, parramatta, NSW 2150",a10740948965185032443,YntenW4pSQqYdvPXrMhgAg
Monty's Pizza,Monty's Pizza Parramatta,1.0,100.0,"383 church st, parramatta, NSW 2150","2/383 church st, parramatta, NSW 2150",a5314572525664358040,RGk3tBXSR56w6nqnsVT7kw
Dosa Plaza (Harris Park),Dosa Plaza Harris Park,1.0,100.0,"56 harris st, harris park, NSW 2150","56 harris st, harris park, NSW 2150",a16660646129850376991,VZ9UtcO6QL2JQf9iyvBzXQ
Profiterole Patisserie,Profiterole Patisserie Mays Hill,1.0,100.0,"147 great western highway, mays hill, NSW 2145","147 great western hwy, mays hill, NSW 2145",a14507773668915534976,tCfTtHsMRXmCP12KKDRX3w
Taj Indian Sweets & Restaurant,Taj Indian Sweets & Restaurant,1.0,100.0,"91 wigram street, harris park, NSW 2150","91 wigram st, harris park, NSW 2150",a16382206845161862856,4l_kXp98QZixodvcFvUj6w
Mina Bakery (Auburn),Mina Bakery,1.0,100.0,"142 s parade, auburn, NSW 2144","142 s parade, auburn, NSW 2144",a12156545819961318812,O43tz8muTL-BkiIre55zbw
Gelato Messina (Parramatta),Gelato Messina Parramatta,1.0,100.0,"283 church street, parramatta, NSW 2150","283 church st, parramatta, NSW 2150",a15589130894629073369,SRG-izlBRX-1mBvPe8Oslw
Oz Pizza & Kebabs,OZ Pizza & Kebabs Ermington,1.0,100.0,"14 betty cuthbert ave, ermington, NSW 2115","14 betty cuthbert ave, ermington, NSW 2115",a8343393756813954882,TAj2BruXTJOKFKqg216mMQ
Chulho,Chulho - Harris Park,1.0,100.0,"59 wigram st, harris park, NSW 2150","59-61 wigram st, harris park, NSW 2150",a17724816053948363906,D-pVPtrdSA6DAjnmirv1kg
Extra Crispy Merrylands,Extra Crispy - Merrylands,1.0,100.0,"226 merrylands rd, merrylands, NSW 2160","1/228 merrylands rd, merrylands, NSW 2160",a1476677888605529056,5n9u72HJRn2k0dgJdh7hUw
Wok Asian Recipe,Wok Asian Recipe,1.0,100.0,"444 church st, parramatta, NSW 2150","444 church st, parramatta, NSW 2150",a1268904921957392658,9QmeTqOZSCKnDS3oJfVENw
Auburn Kebab House,Auburn Kebab House,1.0,100.0,"77 rawson street, auburn, NSW 2144","77 rawson st, auburn, NSW 2144",a5612056568002238023,Ss1kgYEtRUiZa1OwGrR25A
Billu's Indian Eatery,Billu's Indian Eatery,1.0,100.0,"62-64 wigram st, harris park, NSW 2150","62/64 wigram st, harris park, NSW 2150",a8455018557600617156,PYkk4BI6Tf-z8Rtb8aegiA
THE MOMENT THAI CUISINE,The Moment Thai Cuisine,1.0,100.0,"144 pennant st, north parramatta, NSW 2151","144b pennant st, north parramatta, NSW 2151",a4096359867298174300,CevWs7QqSraIu_Jy8v7ibA
Crafty Crisp,Crafty Crisp,1.0,100.0,"144 pennant st, north parramatta, NSW 2151","144a pennant st, north parramatta, NSW 2151",a12541634240540785646,_J6f9AOSQiSjO8DQyOOEVA
Sambandha Restaurant (Auburn),Sambandha Restaurant,1.0,100.0,"57 queen st, auburn, NSW 2144","57 queen st, auburn, NSW 2144",a11585656198810877636,hFxubcy2QmWgFAJ9O2Airg
Jasmin1 Lebanese Restaurant Auburn,Jasmin1 Lebanese Restaurant Auburn,1.0,100.0,"22 civic rd, auburn, NSW 2144","22 civic rd, auburn, NSW 2144",a15370244215391977006,Fjk77EqbRuq1h9i-4q7ujA
Pho Pasteur (Parramatta),Pho Pasteur,1.0,100.0,"137 church street, parramatta, NSW 2150","137 church st, parramatta, NSW 2150",a17299207151838136665,s4946gf4V3CeG-hlppiPjw
Lola Cocina Spanish Restaurant Parramatta,Lola Cocina Spanish Restaurant Parramatta,1.0,100.0,"79 phillip st, parramatta, NSW 2150","level 1/79-81 phillip st, parramatta, NSW 2150",a9215969654960830848,IuqnpRjIQ4i1vKX9x5djkg
Mina Bakery Westmead,MINA BAKERY Westmead,1.0,100.0,"6/24 railway parade, westmead, NSW 2145","shop 6/24 railway pde, westmead, NSW 2145",a14234448025594619405,wTYoWb5zREuXthl6ltg_9Q
Himalayan Fusion Cafe,Himalayan Fusion Cafe,1.0,100.0,"73 rawson st, auburn, NSW 2144","73 rawson st, auburn, NSW 2144",a5253166574012756633,JZd8f_BQTyCUUOwTLXaGaQ
Pho Master,Pho Master,1.0,100.0,"shop 2/109-113 george street, parramatta, NSW 2150","shop 2/109 george st, parramatta, NSW 2150",a9531481984068782112,0xCgcVjRRNqhI-jhtJPgEw
Granville Kebab House,Granville Kebab House,1.0,100.0,"17 south st, granville, NSW 2142","17 south st, granville, NSW 2142",a538090527780876279,CdwJ15WGQmqXMj2XUNkGYw
Tam Tam Restaurant,Tam Tam Restaurant,1.0,100.0,"41 phillip street, parramatta, NSW 2150","41 phillip st, parramatta, NSW 2150",a18129987615012758071,pVCM3qvPRMOqaUHft_u_NQ
X-TRA Cheese Bakery,X-TRA Cheese Bakery Merrylands,1.0,100.0,"2/258 merrylands rd, merrylands, NSW 2160","258 merrylands rd, merrylands, NSW 2160",a5638235968652048899,AjPbbzJ6R7CYLqMJllLJPw
Frankie B's,Frankie B's,1.0,100.0,"289 church street, parramatta, NSW 2150","291 church st, parramatta, NSW 2150",a4400853325930497729,HUvbNzZsT-SxeEiSXyoD2g
Uncle John Pizza,Uncle John Pizza,1.0,100.0,"114 great western hwy, westmead, NSW 2145","114 great western hwy, westmead, NSW 2145",a18050630982102989380,EOjd9SYETqaVAFUM0nnObQ
Saino Nepalese Cuisine,SAINO Nepalese Cuisine,1.0,100.0,"67 rawson street, auburn, NSW 2144","67 rawson st, auburn, NSW 2144",a9333379292907772307,mgyJgUbmQpiDoQIQYM6rPQ
Agha Juice,Agha Juice,1.0,100.0,"2 memorial avenue, merrylands, NSW 2160","2 memorial ave, merrylands, NSW 2160",a7407867761815057198,o-jaVBLEW-q7MEZEO-X4Kw
